USDT Pairs,,,,,,,,,,,,Last 7 Days
ZRX/USDT,,,,,,,,,,,,
ZIL/USDT,,,,,,,,,,,,
ZEN/USDT,,,,,,,,,,,,
ZEC/USDT,,,,,,,,,,,,
YGG/USDT,,,,,,,,,,,,
YFIUP/USDT,,,,,,,,,,,,
YFII/USDT,,,,,,,,,,,,
YFIDOWN/USDT,,,,,,,,,,,,
YFI/USDT,,,,,,,,,,,,
XZC/USDT,,,,,,,,,,,,
XVS/USDT,,,,,,,,,,,,
XVG/USDT,,,,,,,,,,,,
XTZUP/USDT,,,,,,,,,,,,
XTZDOWN/USDT,,,,,,,,,,,,
XTZ/USDT,,,,,,,,,,,,
XRPUP/USDT,,,,,,,,,,,,
XRPDOWN/USDT,,,,,,,,,,,,
XRPBULL/USDT,,,,,,,,,,,,
XRPBEAR/USDT,,,,,,,,,,,,
XRP/USDT,,,,,,,,,,,,
XNO/USDT,,,,,,,,,,,,
XMR/USDT,,,,,,,,,,,,
XLMUP/USDT,,,,,,,,,,,,
XLMDOWN/USDT,,,,,,,,,,,,
XLM/USDT,,,,,,,,,,,,
XEM/USDT,,,,,,,,,,,,
XEC/USDT,,,,,,,,,,,,
WTC/USDT,,,,,,,,,,,,
WRX/USDT,,,,,,,,,,,,
WOO/USDT,,,,,,,,,,,,
WNXM/USDT,,,,,,,,,,,,
WING/USDT,,,,,,,,,,,,
WIN/USDT,,,,,,,,,,,,
WAXP/USDT,,,,,,,,,,,,
WAVES/USDT,,,,,,,,,,,,
WAN/USDT,,,,,,,,,,,,
VTHO/USDT,,,,,,,,,,,,
VOXEL/USDT,,,,,,,,,,,,
VITE/USDT,,,,,,,,,,,,
VIDT/USDT,,,,,,,,,,,,
VIB/USDT,,,,,,,,,,,,
VGX/USDT,,,,,,,,,,,,
VET/USDT,,,,,,,,,,,,
VEN/USDT,,,,,,,,,,,,
UTK/USDT,,,,,,,,,,,,
UST/USDT,,,,,,,,,,,,
USDSB/USDT,,,,,,,,,,,,
USDS/USDT,,,,,,,,,,,,
USDP/USDT,,,,,,,,,,,,
USDC/USDT,,,,,,,,,,,,
UNIUP/USDT,,,,,,,,,,,,
UNIDOWN/USDT,,,,,,,,,,,,
UNI/USDT,,,,,,,,,,,,
UNFI/USDT,,,,,,,,,,,,
