Category,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,roi/times,roi/currency,roi/percentage
AAVE,aave-aave,aaave,Aave AAVE,https://assets.coingecko.com/coins/images/17248/large/amAAVE_2x.png?1626941140,72.19,0,,,1483.71,74.84,72.06,-2.642993369,-3.53172,0,0,0,1055540.342,,443.4,-83.70784,2021-08-17T12:17:43.687Z,46.21,56.33874,2022-06-19T06:02:50.088Z,,2023-03-09T12:13:48.921Z,0.1386927324,,,
AAVE,aave-amm-bptbalweth,aammbptbalweth,Aave AMM BptBALWETH,https://assets.coingecko.com/coins/images/17261/large/aAmmBptBALWETH.png?1626959531,239.53,0,,,0,243.42,238.81,-2.580553209,-1.06517,0,0,0,52.61349112,,1133.57,-78.85572,2021-09-04T13:07:05.461Z,140.31,70.82879,2022-06-18T21:00:56.647Z,,2023-03-09T12:07:00.739Z,0.3134295295,,,
AAVE,aave-amm-bptwbtcweth,aammbptwbtcweth,Aave AMM BptWBTCWETH,https://assets.coingecko.com/coins/images/17260/large/aAmmBptWBTCWETH.png?1626959325,89440,0,,,0,91099,89210,-1048.356523,-1.15856,0,0,0,0.05269167467,,280261,-68.08696,2021-11-10T15:08:42.571Z,61211,46.118,2022-06-18T21:00:55.052Z,,2023-03-09T12:00:06.569Z,0.2032529933,,,
AAVE,aave-amm-dai,aammdai,Aave AMM DAI,https://assets.coingecko.com/coins/images/17197/large/aAMMDAI_2x.png?1626940032,1.003,0,,,0,1.001,0.991064,0.00581159,0.58304,0,0,0,,,1.028,-2.47557,2021-10-03T18:07:17.491Z,0.965285,3.86383,2021-12-04T05:09:17.970Z,,2023-03-09T12:00:06.638Z,0.2032529933,,,
AAVE,aave-amm-uniaaveweth,aammuniaaveweth,Aave AMM UniAAVEWETH,https://assets.coingecko.com/coins/images/17232/large/aAmmUniAAVEWETH.png?1626921301,899.04,0,,,0,922.19,897.3,-22.57496817,-2.44796,0,0,0,0.138638317,,3139.94,-71.34912,2021-10-27T09:00:01.115Z,519.64,73.123,2022-06-18T21:00:54.732Z,,2023-03-09T12:07:00.618Z,0.2032529933,,,
AAVE,aave-amm-unibatweth,aammunibatweth,Aave AMM UniBATWETH,https://assets.coingecko.com/coins/images/17217/large/aAmmUniBATWETH.png?1626878218,53.18,0,,,0,54.07,52.58,-0.6275018508,-1.16614,0,0,0,17.35398495,,229.23,-76.79944,2021-11-26T03:08:50.070Z,38,39.95668,2022-12-30T08:00:01.289Z,,2023-03-09T12:00:05.388Z,0.2032529933,,,
AAVE,aave-amm-unicrvweth,aammunicrvweth,Aave AMM UniCRVWETH,https://assets.coingecko.com/coins/images/17220/large/aAmmUniCRVWETH.png?1626879022,526.32,0,,,0,545.54,525.3,-18.88246581,-3.46123,0,0,0,0.00004136273303,,1773.24,-70.29957,2021-11-25T18:08:41.020Z,272.41,93.33477,2022-06-18T21:00:55.117Z,,2023-03-09T12:07:00.623Z,0.2032529933,,,
AAVE,aave-amm-unidaiusdc,aammunidaiusdc,Aave AMM UniDAIUSDC,https://assets.coingecko.com/coins/images/17218/large/aAmmUniDAIUSDC.png?1626878648,2258751,0,,,0,2259699,2239231,13184.12,0.58674,0,0,0,0.000009089043296,,2312473,-2.26016,2022-05-12T07:08:32.325Z,2181060,3.62883,2021-12-04T05:09:16.456Z,,2023-03-09T12:07:00.558Z,0.2032797547,,,
AAVE,aave-amm-unidaiweth,aammunidaiweth,Aave AMM UniDAIWETH,https://assets.coingecko.com/coins/images/17230/large/aAmmUniDAIWETH.png?1626920804,141.43,0,,,0,142.34,140.51,-0.177485415,-0.12534,0,0,0,4.896831006,,218.51,-35.27586,2021-11-10T14:07:38.023Z,101.65,39.13654,2022-06-18T21:00:56.310Z,,2023-03-09T12:00:03.186Z,0.2037761129,,,
AAVE,aave-amm-unilinkweth,aammunilinkweth,Aave AMM UniLINKWETH,https://assets.coingecko.com/coins/images/17221/large/aAmmUniLINKWETH.png?1626879669,323.09,0,,,0,329.71,321.9,-6.299735697,-1.91167,0,0,0,149.9486828,,1226.81,-73.65184,2021-11-10T16:08:41.729Z,217.97,48.29385,2022-06-18T20:07:48.142Z,,2023-03-09T12:07:00.530Z,0.2032442405,,,
