,Unnamed: 0,Unnamed: 0.1,Kline open time,Coin,Open price,Daily Open price pct_change,High price,Daily High price pct_change,Low price,Daily Low price pct_change,Close price,Daily Close price pct_change,relative_strength
0,0,0,2022-11-04,ZRX/USDT,0.2626,,0.2832,,0.2614,,0.2813,,
1,1,1,2022-11-05,ZRX/USDT,0.2812,0.0708301599390708,0.2869,0.0130649717514124,0.2693,0.0302218821729149,0.2742,-0.0252399573409171,-3.538533262336995
2,2,2,2022-11-06,ZRX/USDT,0.2742,-0.0248933143669985,0.2754,-0.0400836528407111,0.2555,-0.051243965837356,0.2566,-0.0641867250182348,3.4717407888764527
3,3,3,2022-11-07,ZRX/USDT,0.2566,-0.0641867250182348,0.2633,-0.0439360929557007,0.2514,-0.0160469667318982,0.2581,0.0058456742010912,-0.38863796999474703
4,4,4,2022-11-08,ZRX/USDT,0.2579,0.0050662509742791,0.2617,-0.0060767185719711,0.1917,-0.2374701670644391,0.2106,-0.1840371948857031,1.8540700644487735
5,5,5,2022-11-09,ZRX/USDT,0.2106,-0.1834044203179526,0.2349,-0.1024073366450133,0.16,-0.1653625456442358,0.1644,-0.2193732193732194,1.5503484791136932
6,6,6,2022-11-10,ZRX/USDT,0.1644,-0.2193732193732194,0.1978,-0.1579395487441464,0.1615,0.0093749999999999,0.1944,0.1824817518248176,1.7312476987819638
7,7,7,2022-11-11,ZRX/USDT,0.1944,0.1824817518248176,0.197,-0.0040444893832153,0.1774,0.098452012383901,0.1868,-0.0390946502057613,1.2962678066256066
8,8,8,2022-11-12,ZRX/USDT,0.1869,-0.03858024691358,0.1871,-0.0502538071065991,0.1744,-0.0169109357384441,0.1762,-0.0567451820128479,3.7511437399440246
9,9,9,2022-11-13,ZRX/USDT,0.1763,-0.0567148207597645,0.1813,-0.0309994655264564,0.1686,-0.0332568807339449,0.1718,-0.024971623155505,0.8705906439255188
10,10,10,2022-11-14,ZRX/USDT,0.1718,-0.0255246738513896,0.1783,-0.0165471594043022,0.1604,-0.0486358244365362,0.1768,0.0291036088474971,1.6410260934992134
11,11,11,2022-11-15,ZRX/USDT,0.1769,0.029685681024447,0.1951,0.0942232192933258,0.1738,0.0835411471321696,0.1857,0.0503393665158371,2.976105753033662
12,12,12,2022-11-16,ZRX/USDT,0.1857,0.0497456189937817,0.1866,-0.0435674013326499,0.1743,0.0028768699654775,0.1804,-0.0285406569736133,2.0283140785860114
13,13,13,2022-11-17,ZRX/USDT,0.1803,-0.0290791599353796,0.1819,-0.02518756698821,0.1747,0.0022948938611588,0.1777,-0.0149667405764967,-8.368698194912508
14,14,14,2022-11-18,ZRX/USDT,0.1777,-0.0144204104270659,0.183,0.0060472787245737,0.1777,0.0171722953634803,0.1806,0.0163196398424312,34.52681460687621
15,15,15,2022-11-19,ZRX/USDT,0.1806,0.0163196398424312,0.1915,0.0464480874316939,0.178,0.0016882386043894,0.1885,0.0437430786267996,3176.2134672065345
16,16,16,2022-11-20,ZRX/USDT,0.1887,0.0448504983388704,0.2098,0.0955613577023497,0.1763,-0.0095505617977527,0.1766,-0.0631299734748009,2.507583506745478
17,17,17,2022-11-21,ZRX/USDT,0.1765,-0.0646528881823,0.1892,-0.0981887511916109,0.1717,-0.0260918888258651,0.1799,0.0186862967157417,-0.6097270380817749
18,18,18,2022-11-22,ZRX/USDT,0.18,0.0198300283286119,0.1919,0.0142706131078222,0.1739,0.0128130460104833,0.1918,0.0661478599221789,2.342417952005578
19,19,19,2022-11-23,ZRX/USDT,0.1918,0.0655555555555555,0.199,0.036998436685774,0.1892,0.0879815986198966,0.1986,0.035453597497393,1.5293707615555443
20,20,20,2022-11-24,ZRX/USDT,0.1985,0.034932221063608,0.2243,0.1271356783919597,0.1966,0.0391120507399576,0.1995,0.0045317220543807,-18.08670186497949
21,21,21,2022-11-25,ZRX/USDT,0.1994,0.0045340050377833,0.2002,-0.1074453856442265,0.1897,-0.0350966429298066,0.1934,-0.030576441102757,6.607691928688964
22,22,22,2022-11-26,ZRX/USDT,0.1935,-0.0295887662988966,0.1963,-0.0194805194805194,0.1893,-0.0021085925144966,0.1924,-0.0051706308169596,1.3438711065930893
23,23,23,2022-11-27,ZRX/USDT,0.1923,-0.0062015503875969,0.2257,0.1497707590422823,0.1883,-0.0052826201796091,0.1895,-0.015072765072765,8.327497785957174
24,24,24,2022-11-28,ZRX/USDT,0.1895,-0.0145605824232969,0.1907,-0.155073105892778,0.1794,-0.0472650026553371,0.1845,-0.0263852242744063,2.0080467172598544
25,25,25,2022-11-29,ZRX/USDT,0.1844,-0.0269129287598943,0.1882,-0.0131095962244363,0.1821,0.0150501672240803,0.1865,0.010840108401084,0.7653937021906673
