,Unnamed: 0,Unnamed: 0.1,Kline open time,Coin,Open price,Daily Open price pct_change,High price,Daily High price pct_change,Low price,Daily Low price pct_change,Close price,Daily Close price pct_change,relative_strength
0,0,0,1674000000000,RPL/USDT,25.66,,42.9,,25.66,,31.48,,
1,1,1,1674086400000,RPL/USDT,31.44,0.2252533125487139,34.48,-0.1962703962703963,30.53,0.1897895557287607,32.49,0.0320838627700128,1.683276945882115
2,2,2,1674172800000,RPL/USDT,32.49,0.0333969465648855,38.0,0.1020881670533644,32.25,0.056338028169014,37.52,0.1548168667282241,2.044495268786918
3,3,3,1674259200000,RPL/USDT,37.61,0.1575869498307169,38.2,0.0052631578947368,33.88,0.0505426356589147,34.87,-0.0706289978678039,-13.761065211956657
4,4,4,1674345600000,RPL/USDT,35.05,-0.0680670034565276,36.43,-0.0463350785340315,33.97,0.0026564344746162,34.18,-0.0197877831947231,5.957921868721478
5,5,5,1674432000000,RPL/USDT,34.32,-0.0208273894436518,37.43,0.0274499039253361,34.16,0.0055931704445097,36.63,0.0716793446459918,7.804027217240428
6,6,6,1674518400000,RPL/USDT,36.71,0.0696386946386946,42.4,0.132781191557574,35.16,0.0292740046838406,36.6,-0.0008190008190008,0.06618913569823312
7,7,7,1674604800000,RPL/USDT,36.73,0.0005448106782892,40.58,-0.0429245283018867,35.59,0.0122298065984074,40.26,0.0999999999999998,5.287440719542132
8,8,8,1674691200000,RPL/USDT,40.16,0.093384154641982,41.13,0.0135534746180385,38.17,0.0724922731104242,38.84,-0.0352707401887728,15.85838220411301
9,9,9,1674777600000,RPL/USDT,38.84,-0.0328685258964142,39.8,-0.0323364940432775,37.5,-0.0175530521351847,39.54,0.0180226570545827,6.428383675336961
10,10,10,1674864000000,RPL/USDT,39.54,0.0180226570545827,40.44,0.0160804020100502,37.77,0.0072,37.83,-0.043247344461305,19.354075750101806
11,11,11,1674950400000,RPL/USDT,37.84,-0.0429944360141627,40.65,0.0051928783382788,37.81,0.0010590415673814,40.16,0.0615913296325667,1.9702550307054718
12,12,12,1675036800000,RPL/USDT,40.19,0.062103594080338,40.49,-0.0039360393603935,37.06,-0.0198360222163448,37.6,-0.0637450199203185,1.6519711689725338
13,13,13,1675123200000,RPL/USDT,37.55,-0.0656879820850958,39.15,-0.0330945912571005,37.42,0.0097139773340528,38.1,0.0132978723404255,1.0152492766185226
14,14,14,1675209600000,RPL/USDT,38.25,0.0186418109187751,40.14,0.0252873563218392,36.41,-0.0269909139497596,39.86,0.0461942257217846,1.7583452258581775
15,15,15,1675296000000,RPL/USDT,39.86,0.0420915032679738,44.28,0.1031390134529148,39.77,0.0922823400164791,41.67,0.0454089312594079,-4.421773865677395
16,16,16,1675382400000,RPL/USDT,41.67,0.0454089312594079,43.84,-0.0099367660343269,40.29,0.0130751822982146,41.02,-0.0155987520998319,6.4235300166173745
17,17,17,1675468800000,RPL/USDT,41.02,-0.0155987520998319,41.35,-0.0567974452554744,39.77,-0.0129064283941423,40.41,-0.0148707947342761,3.316685466724586
18,18,18,1675555200000,RPL/USDT,40.43,-0.0143832276938079,40.6,-0.0181378476420798,38.28,-0.0374654262006538,38.9,-0.0373669883692154,2.2127123066802468
19,19,19,1675641600000,RPL/USDT,38.88,-0.0383378679198613,44.04,0.0847290640394087,38.66,0.0099268547544408,40.58,0.0431876606683805,-5.812657639641587
20,20,20,1675728000000,RPL/USDT,40.57,0.0434670781893002,44.2,0.0036330608537693,40.55,0.0488877392653905,43.16,0.063578117299162,3.027991309755465
21,21,21,1675814400000,RPL/USDT,43.15,0.0635937885136799,44.0,-0.0045248868778281,39.68,-0.0214549938347717,41.28,-0.0435588507877663,3.648553771278956
22,22,22,1675900800000,RPL/USDT,41.33,-0.0421784472769408,52.3,0.1886363636363635,41.08,0.035282258064516,49.05,0.1882267441860463,-3.704839263484486
23,23,23,1675987200000,RPL/USDT,49.04,0.1865473022017905,56.6,0.0822179732313577,44.5,0.0832521908471275,45.48,-0.072782874617737,9.268526578489862
24,24,24,1676073600000,RPL/USDT,45.49,-0.072389885807504,47.37,-0.1630742049469965,43.51,-0.0222471910112359,46.3,0.0180299032541777,1.642652862964321
25,25,25,1676160000000,RPL/USDT,46.3,0.0178061112332379,48.46,0.0230103440996412,44.03,0.0119512755688349,46.38,0.0017278617710583,-0.47810991473043146
26,26,26,1676246400000,RPL/USDT,46.38,0.0017278617710583,46.38,-0.0429219975237308,38.66,-0.1219622984328867,41.86,-0.0974557999137559,221.83200790531663
27,27,27,1676332800000,RPL/USDT,41.86,-0.0974557999137559,43.7,-0.0577835273824924,40.5,0.0475944128297982,42.67,0.0193502150023889,0.9893418201694637
28,28,28,1676419200000,RPL/USDT,42.73,0.020783564261825,48.28,0.1048054919908465,42.26,0.0434567901234568,47.57,0.1148347785329271,1.2001232033868667
